Planta,NOM_MUN,LAT_DEC,LON_DEC
102,Concepción del Oro,24.613169,-101.420484
103,Concepción Pápalo,17.841365,-96.88136
104,Constancia del Rosario,17.037822,-97.941458
105,Copainalá,17.093611,-93.210556
106,Copalillo,18.034151,-99.041724
107,Cosío,22.366409,-102.300044
108,Coxcatlán,18.266533,-97.147113
109,Coxquihui,20.184737,-97.586271
110,Coyuca de Benítez,17.009002,-100.089367
111,Cuajinicuilapa,16.471986,-98.416745
112,Cuauhtémoc,19.328774,-103.601861
113,Cuautepec,16.749003,-99.001546
114,Cuautitlán,19.665061,-99.17863
115,Cuernavaca,18.921783,-99.234897
116,Cuitláhuac,18.814539,-96.722323
117,Cunduacán,18.065363,-93.1743
118,Cuyamecalco Villa de Zaragoza,17.965083,-96.831376
119,Cuzamá,20.741484,-89.316961
120,Delicias,28.193333,-105.471111
121,Doctor Arroyo,23.674692,-100.182256
122,Doctor Mora,21.14264,-100.318949
123,Ecuandureo,20.162616,-102.194566
124,Ejutla,19.906389,-104.161944
125,El Espinal,16.48571,-95.042836
126,El Fuerte,26.421599,-108.619966
127,El Grullo,19.8075,-104.215556
128,El Limón,19.824444,-104.152222
129,El Naranjo,22.522036,-99.322509
130,El Parral,16.366228,-93.006711
131,El Salto,20.519444,-103.181667
132,Emiliano Zapata,16.539172,-92.896724
133,Encarnación de Díaz,21.524444,-102.233056
134,Ensenada,31.808944,-116.595134
135,Epitacio Huerta,20.134689,-100.293722
136,Espita,21.011053,-88.306823
137,Ezequiel Montes,20.665295,-99.898406
138,Felipe Carrillo Puerto,19.57851,-88.046587
139,Fresnillo,23.174895,-102.868229
140,Frontera,26.926111,-101.449444
141,Frontera,26.926111,-101.449444
142,Frontera Comalapa,15.660164,-92.14105
143,Galeana,30.112949,-107.616744
144,García,25.800492,-100.585469
145,General Enrique Estrada,22.995123,-102.740013
146,Gómez Farías,29.357019,-107.738655
147,Granados,29.862293,-109.310522
148,Guadalupe y Calvo,26.094516,-106.964369
149,Guelatao de Juárez,17.318173,-96.493683
150,Guevea de Humboldt,16.792614,-95.368056
151,Gutiérrez Zamora,20.451932,-97.087566
152,Heroica Ciudad de Huajuapan de León,17.806837,-97.776236
153,Hidalgo,27.791681,-99.876055
154,Hidalgo del Parral,26.922088,-105.667143
155,Hopelchén,19.745548,-89.845044
156,Huachinera,30.211274,-108.958829
157,Huajicori,22.637261,-105.319985
158,Huamantla,19.31266,-97.923103
159,Huásabas,29.904188,-109.301469
160,Huauchinango,20.174698,-98.05134
161,Huautla,21.031387,-98.286821
162,Huehuetla,20.460306,-98.078424
163,Huehuetla,20.460306,-98.078424
164,Huehuetoca,19.833622,-99.204138
165,Huejotzingo,19.159008,-98.408033
166,Huejuquilla el Alto,22.628611,-103.894167
167,Hueyapan de Ocampo,18.151858,-95.142684
168,Hueyotlipan,19.469988,-98.348498
169,Hueytamalco,19.939479,-97.289041
170,Huiloapan de Cuauhtémoc,18.816577,-97.15592
171,Huitiupán,17.173232,-92.685932
172,Huixtán,16.712151,-92.454597
173,Igualapa,16.743713,-98.476618
174,Iliatenco,17.045531,-98.685811
175,Irapuato,20.672801,-101.348117
176,Ixcateopan de Cuauhtémoc,18.502452,-99.793569
177,Ixcatepec,21.237634,-98.005952
178,Ixhuacán de los Reyes,19.355946,-97.11528
179,Ixhuatlán del Café,19.051157,-96.984325
180,Ixmiquilpan,20.484868,-99.218774
181,Ixtacamaxtitlán,19.623603,-97.81657
182,Ixtapan de la Sal,18.844606,-99.675823
183,Ixtepec,20.024937,-97.646779
184,Ixtlahuacán,19.001184,-103.738593
185,Izúcar de Matamoros,18.602231,-98.465406
186,Jala,21.104821,-104.438217
187,Jalostotitlán,21.168611,-102.461111
188,Jalpan,20.480096,-97.942631
189,Jilotlán de los Dolores,19.370556,-103.019722
190,Jiquipilco,19.557599,-99.6086
191,Jolalpan,18.320517,-98.844298
192,Jonacatepec de Leandro Valle,18.68069,-98.803223
193,Jonotla,20.03038,-97.574905
194,Jopala,20.1628,-97.69292
195,José María Morelos,19.418438,-88.829156
196,Juan Aldama,24.290481,-103.39359
197,Juan Rodríguez Clara,17.994004,-95.401354
198,Juárez,27.606506,-100.72712
199,Juárez,27.606506,-100.72712
200,Juárez Hidalgo,20.783717,-98.828861
201,Kanasín,20.93464,-89.558059
202,Kaua,20.620086,-88.414617
203,La Concordia,16.116716,-92.687934
204,La Magdalena Tlatlauquitepec,18.75852,-98.100701
205,La Manzanilla de la Paz,20.004444,-103.15
206,La Paz,24.142222,-110.310833
207,La Reforma,16.623315,-97.844498
208,La Trinidad Vista Hermosa,17.77263,-97.505751
209,La Trinitaria,16.119059,-92.050469
210,Lagos de Moreno,21.356389,-101.929167
211,Landa de Matamoros,21.183456,-99.321915
212,Las Rosas,16.364132,-92.369581
213,Lerdo,25.536552,-103.524849
214,Lerdo de Tejada,18.6282,-95.523222
215,Lolotla,20.841164,-98.717289
216,Loreto,26.012778,-111.343333
217,Los Ramones,25.696392,-99.624031
218,Los Reyes,19.588974,-102.474679
219,Macuspana,17.756431,-92.594071
220,Magdalena,20.906389,-103.976111
221,Magdalena,20.906389,-103.976111
222,Magdalena Mixtepec,16.896112,-96.907728
223,Magdalena Teitipac,16.906621,-96.558739
224,Magdalena Tlacotepec,16.503966,-95.203306
225,Magdalena Yodocono de Porfirio Díaz,17.385094,-97.354976
226,Mama,20.477398,-89.365579
227,Martínez de la Torre,20.073388,-97.05384
228,Matías Romero Avendaño,16.877889,-95.042149
229,Mazamitla,19.917222,-103.020278
230,Mazapil,24.638097,-101.554967
231,Mazatepec,18.733184,-99.366972
232,Mecatlán,20.210656,-97.68174
233,Mecayapan,18.221457,-94.837643
234,Melchor Ocampo,19.710414,-99.143458
235,Melchor Ocampo,19.710414,-99.143458
236,Méndez,25.116548,-98.586217
237,Mesones Hidalgo,16.915356,-97.966546
238,Metztitlán,20.5947,-98.764144
239,Mier,26.43047,-99.148694
240,Miguel Auza,24.294446,-103.451449
241,Montecristo de Guerrero,15.693918,-92.61926
242,Morelos,28.410104,-100.886631
243,Moroleón,20.13187,-101.189209
244,Muna,20.483953,-89.713378
245,Nahuatzen,19.654073,-101.917137
246,Naupan,20.228472,-98.109733
247,Navolato,24.767219,-107.69676
248,Nopala de Villagrán,20.251744,-99.644328
249,Noria de Ángeles,22.442701,-101.908896
250,Numarán,20.2549,-101.947197
251,Ocoyoacac,19.269281,-99.455695
252,Ojocaliente,22.571967,-102.252934
253,Oriental,19.375803,-97.619351
254,Palmillas,23.301759,-99.547539
255,Peñón Blanco,24.792509,-104.034267
256,Rayón,17.200503,-93.011217
257,Reynosa,26.09235,-98.278129
258,San Agustín de las Juntas,17.01166,-96.711441
259,San Bartolo Tutotepec,20.399143,-98.20206
260,San Felipe Teotlalcingo,19.235725,-98.495455
261,San Francisco Cahuacuá,16.893563,-97.305594
262,San Juan Atepec,17.426393,-96.539133
263,San Juan Bautista Atatlahuca,17.531096,-96.829941
264,San Juan Bautista Cuicatlán,17.801548,-96.959567
265,San Juan Bautista Tlachichilco,17.622548,-98.343993
266,San Juan Lachigalla,16.591718,-96.54884
267,San Miguel Totolapan,18.161267,-100.390821
268,San Nicolás Buenos Aires,19.161897,-97.548412
269,San Pablo Anicano,18.124454,-98.084033
270,San Pablo Huitzo,17.277367,-96.884496
271,San Pablo Tijaltepec,17.017658,-97.499963
272,San Pedro Coxcaltepec Cántaros,17.498849,-97.135813
273,San Pedro el Alto,16.033616,-96.473723
274,San Pedro Nopala,17.806294,-97.541307
275,San Pedro Ocopetatillo,18.184936,-96.913153
276,San Pedro Teozacoalco,17.017126,-97.286098
277,San Pedro Tidaá,17.340764,-97.377273
278,San Pedro Totolápam,16.666444,-96.301907
279,San Pedro y San Pablo Ayutla,17.027151,-96.077082
280,San Pedro y San Pablo Tequixtepec,18.060656,-97.717846
281,San Pedro Yaneri,17.419356,-96.354571
282,San Pedro Yucunama,17.561004,-97.482591
283,San Salvador,20.284568,-99.015604
284,San Sebastián del Oeste,20.760833,-104.851667
285,San Sebastián Río Hondo,16.182831,-96.464061
286,San Simón Zahuatlán,17.828853,-98.004528
287,Santa Ana Tavela,16.65465,-95.911568
288,Santa Bárbara,26.8021,-105.8181
289,Santa Catarina Cuixtla,16.304396,-96.644744
290,Santa Catarina Ixtepeji,17.265549,-96.561699
291,Santa Catarina Loxicha,16.069504,-96.754866
292,Santa Catarina Tlaltempan,18.614263,-98.0799
293,Santa Catarina Zapoquila,18.064558,-97.601655
294,Santa Cruz Quilehtla,19.21318,-98.222018
295,Santa Elena,20.328898,-89.643259
296,Santa Isabel,28.343346,-106.368054
297,Santa Lucía Miahuatlán,16.186473,-96.618211
298,Santa María Chachoápam,17.525156,-97.283505
299,Santa María Coyotepec,16.967161,-96.706736
300,Santa María Ecatepec,16.284183,-95.88113
301,Santa María Guelacé,17.000877,-96.60283
302,Santa María Huazolotitlán,16.302222,-97.912861
303,Santa María la Asunción,18.108224,-96.819365
304,Santa María Ozolotepec,16.130841,-96.370067
305,Santa María Pápalo,17.78416,-96.797356
306,Santa María Teopoxco,18.166659,-96.955139
307,Santa María Totolapilla,16.603228,-95.625455
308,Santa María Yosoyúa,17.120186,-97.514792
309,Santa María Zacatepec,16.763894,-97.989878
310,Santiago,25.4271,-100.153011
311,Santiago Camotlán,17.446267,-96.184656
312,Santiago de Anaya,20.382582,-98.963953
313,Santiago del Río,17.455975,-98.08854
314,Santiago el Pinar,16.941438,-92.714596
315,Santiago Huauclilla,17.450841,-97.071527
316,Santiago Ihuitlán Plumas,17.848474,-97.429743
317,Santiago Ixcuintepec,16.934806,-95.623106
318,Santiago Jamiltepec,16.279458,-97.819682
319,Santiago Laxopa,17.219758,-96.313396
320,Santiago Maravatío,20.172407,-100.995226
321,Santiago Matatlán,16.866099,-96.383423
322,Santiago Miahuatlán,18.553155,-97.441853
323,Santiago Nacaltepec,17.505474,-96.916496
324,Santiago Nejapilla,17.420284,-97.372616
325,Santiago Niltepec,16.562093,-94.613004
326,Santiago Tapextla,16.34097,-98.447474
327,Santiago Tilantongo,17.283077,-97.339804
328,Santiago Tuxtla,18.465643,-95.301754
329,Santiago Yaveo,17.335828,-95.700692
330,Santo Domingo Armenta,16.332972,-98.378152
331,Santo Domingo Ingenio,16.588492,-94.76863
332,Santo Domingo Ixcatlán,16.913927,-97.531934
333,Santo Domingo Nuxaá,17.221897,-97.12071
334,Santo Domingo Petapa,16.820669,-95.140423
335,Santo Domingo Roayaga,17.337631,-96.114573
336,Santo Domingo Teojomulco,16.589403,-97.226188
337,Santo Domingo Tepuxtepec,16.956887,-96.055406
338,Santo Domingo Tlatayápam,17.407468,-97.347023
339,Santo Domingo Tonaltepec,17.610857,-97.360082
340,Santo Tomás Hueyotlipan,18.891089,-97.867231
341,Santos Reyes Yucuná,17.777741,-98.004527
342,Silacayoápam,17.501447,-98.142585
343,Sitalá,17.025051,-92.307743
344,Soyopa,28.764215,-109.634631
345,Tapalapa,17.190048,-93.104605
346,Tapilula,17.248403,-93.016258
347,Taretan,19.334562,-101.917904
348,Tecoh,20.741726,-89.474302
349,Tekal de Venegas,21.014073,-88.947005
350,Temixco,18.845273,-99.224143
351,Temósachic,28.952758,-107.829839
352,Teocaltiche,21.434444,-102.570278
353,Teocuitatlán de Corona,20.093333,-103.38
354,Teolocholco,19.244394,-98.192351
355,Teotitlán de Flores Magón,18.132334,-97.070704
356,Teotlalco,18.469623,-98.778269
357,Tepache,29.534399,-109.532373
358,Tepalcingo,18.594736,-98.844357
359,Tepatlaxco,19.067345,-96.842039
360,Tepeapulco,19.785674,-98.553662
361,Tepecoacuilco de Trujano,18.28699,-99.466694
362,Tepeji del Río de Ocampo,19.905217,-99.341814
363,Tepelmeme Villa de Morelos,17.874806,-97.362198
364,Tequila,20.879444,-103.835556
365,Tequixquiac,19.910277,-99.148913
366,Tetela del Volcán,18.893525,-98.730066
367,Tetiz,20.961912,-89.933449
368,Tetlatlahuca,19.231639,-98.295728
369,Teuchitlán,20.685278,-103.849167
370,Texhuacán,18.620638,-97.038733
371,Texistepec,17.894277,-94.815294
372,Teya,21.048538,-89.073709
373,Tezonapa,18.606807,-96.687534
374,Tianguistengo,20.728213,-98.630851
375,Tierra Blanca,21.100003,-100.159154
376,Tierra Blanca,21.100003,-100.159154
377,Tixtla de Guerrero,17.566724,-99.398271
378,Tizayuca,19.841089,-98.981584
379,Tlachichilco,20.621569,-98.199049
380,Tlacolulan,19.664859,-97.001371
381,Tlacotepec de Benito Juárez,18.682768,-97.65354
382,Tlacuilotepec,20.326265,-98.068909
383,Tlahuiltepa,20.923913,-98.950201
384,Tlalixcoyan,18.802161,-96.060888
385,Tlalixtac de Cabrera,17.074484,-96.648417
386,Tlalnepantla,19.007927,-98.997352
387,Tlaltenango,19.170023,-98.344316
388,Tlaltenango de Sánchez Román,21.783042,-103.305813
389,Tlanepantla,18.865364,-97.887397
390,Tlapacoya,20.123151,-97.851374
391,Tlapanalá,18.696144,-98.537794
392,Tlapehuala,18.23976,-100.541574
393,Tlaquilpa,18.612271,-97.118881
394,Tlaxcoapan,20.091614,-99.221593
395,Tlayacapan,18.956617,-98.983118
396,Tolimán,19.6,-103.914444
397,Tomatlán,19.941389,-105.245278
398,Tonalá,16.091356,-93.751783
399,Tonila,19.410833,-103.549444
400,Totolapa,16.544733,-92.680376
401,Totolapan,18.987223,-98.921439
402,Totoltepec de Guerrero,18.222541,-97.855134
403,Totutla,19.211286,-96.961295
404,Tres Valles,18.240922,-96.134797
405,Trincheras,30.398621,-111.531483
406,Trinidad Zaachila,16.921227,-96.765343
407,Tulum,20.210777,-87.463205
408,Tuxcacuesco,19.697222,-103.983611
409,Tuxcueca,20.155556,-103.183889
410,Tuxpan,19.554444,-103.372222
411,Tuzantán,15.146063,-92.421621
412,Tuzantla,19.207606,-100.573064
413,Tzicatlacoyan,18.841228,-98.048143
414,Tzintzuntzan,19.625438,-101.576951
415,Unión de Tula,19.954444,-104.264444
416,Valle de Bravo,19.194395,-100.131607
417,Vanegas,23.883889,-100.950556
418,Vega de Alatorre,20.027466,-96.649765
419,Villa Corona,20.416389,-103.661389
420,Villa Corzo,16.184751,-93.267684
421,Villa de Arista,22.644772,-100.84902
422,Villa Guerrero,21.983056,-103.596667
423,Villa Sola de Vega,16.514758,-96.978014
424,Villa Tejúpam de la Unión,17.667088,-97.473521
425,Xalpatláhuac,17.470875,-98.606449
426,Xayacatlán de Bravo,18.235576,-97.97554
427,Yaxkukul,21.063479,-89.419238
428,Zapotlán de Juárez,19.974047,-98.861883
429,Zaragoza,28.487043,-100.917622
430,Zongolica,18.666891,-96.998364
431,Zontecomatlán de López y Fuentes,20.761981,-98.342917
432,Zumpahuacán,18.840928,-99.585596
