market,mu,sd
206,8688,2343
207,9075,1824
208,6233,1421
209,5434,1151
210,8768,1381
211,9449,1619
212,8933,1520
213,7636,1016
214,7529,1887
215,8978,2043
216,6444,904
217,9583,1537
218,7861,1964
219,6601,902
220,7536,893
221,5639,1545
222,7650,1308
223,8402,849
224,8466,1124
225,7300,1486
226,9666,1915
227,5652,1679
228,9303,2572
229,7636,2244
230,8295,2442
231,8008,2113
232,5666,604
233,9893,2432
234,7560,2121
235,5475,1109
236,8935,2053
237,7714,1394
238,9309,1260
239,9722,1626
240,7301,1037
241,7801,902
242,9854,1057
243,9093,2380
244,6175,1174
245,9393,2763
246,7835,2313
247,5654,582
248,8847,2033
249,5382,1437
250,8545,2398
251,5154,810
252,6382,1159
253,9529,1019
254,9448,1582
255,6270,663
256,5642,1628
257,6221,1204
258,9513,1544
259,7762,2126
260,6459,963
261,8542,1197
262,6943,1265
263,5967,1061
264,9055,2149
265,6422,1661
266,6975,1152
267,9189,1315
268,7728,1533
269,9880,2168
270,8088,1259
271,9652,2225
272,8592,2213
273,5427,867
274,6277,1212
275,8090,1011
276,7898,1052
277,9132,2000
278,8811,2128
279,8555,1691
280,6885,1909
281,8299,1728
282,9403,2663
283,9400,1263
284,9479,1234
285,7902,2199
286,9673,1704
287,6322,847
288,5787,731
289,8116,2025
290,6668,1492
291,8259,1871
292,9265,2587
293,5823,1025
294,5840,1477
295,6891,1730
296,5502,1492
297,9923,1829
298,5814,1192
299,5702,1577
300,8340,2403
301,5012,789
302,7683,938
303,7320,947
304,8342,2340
305,6755,1935
306,9187,1088
307,6490,779
308,7471,1665
309,7456,2205
310,6832,909
311,7329,1292
312,5064,787
313,5314,1242
314,8379,2145
315,7614,1352
316,7638,1460
317,7883,1588
318,8753,2476
319,7187,971
320,5021,636
321,5832,1554
322,8779,2239
323,6793,1517
324,8477,2236
325,6978,1900
326,6153,728
327,9115,1083
328,9700,2835
329,6357,677
330,6469,1894
331,9343,1628
332,7112,1692
333,9981,2797
334,5125,1535
335,5459,1118
336,5426,586
337,6179,1506
338,6174,948
339,7895,2152
340,9455,1945
341,7705,2152
342,7707,976
343,7170,1382
344,6550,982
345,8776,2213
346,6183,1417
347,5367,1569
348,7375,1108
349,8950,1466
350,8083,2174
351,6635,1440
352,9691,1488
353,9301,2675
354,6894,1742
355,7445,2102
356,7072,963
357,8858,1618
358,5252,1342
359,7622,1681
360,7305,1594
361,5152,1449
362,8071,2392
363,8849,1512
364,6232,1785
365,5335,960
366,8741,1598
367,5189,994
368,5858,1555
369,6735,772
370,8575,2107
371,8091,1280
372,6529,1927
373,9203,2240
374,8877,2333
375,7496,1245
376,6153,1486
377,9017,2131
378,8621,1202
379,6347,1561
380,7884,1987
381,9208,2468
382,5848,603
383,5697,993
384,6315,741
385,6546,1869
386,7114,1597
387,9904,1630
388,6818,1798
389,5363,1102
390,9555,2817
391,7203,1229
392,5400,1116
393,8771,1788
394,9602,2805
395,5660,1338
396,5197,1465
397,5230,1097
398,6555,1477
399,9599,2874
400,6989,1626
401,7165,1844
402,9449,2427
403,7441,877
404,8774,1539
405,9504,1791
406,9815,1945
407,5910,1112
408,6287,945
409,8319,2026
410,9522,1477
411,7902,1901
412,5908,1364
413,6042,629
414,9536,2202
415,7024,1992
416,7061,1224
417,6092,1654
418,8247,963
419,9309,2072
420,9470,2816
421,5839,930
422,6502,1270
423,5270,815
424,9258,2525
425,7654,1103
426,7066,2014
427,6180,1711
428,5921,1654
429,5688,1054
430,5646,1485
431,5477,1423
432,8758,885
433,9333,2192
434,8638,2008
435,5546,606
436,7478,2030
437,7165,786
438,5737,853
439,8643,1543
440,5130,960
441,8905,1724
442,6744,1773
443,5942,1560
444,8282,1864
445,6439,1632
446,8011,2178
447,7878,1460
448,9811,1476
449,6902,897
450,5125,897
451,9396,1915
452,6893,1640
453,7791,839
454,6133,1282
455,7540,2103
456,5325,1421
457,6340,1342
458,5395,1176
459,5214,1360
460,8441,1483
461,6911,1215
462,6479,811
463,8519,2101
464,7045,1303
465,9762,1479
466,5324,1576
467,7338,1997
468,8939,1009
469,5112,514
470,9277,2208
471,6880,1562
472,8974,1135
473,8708,1370
474,8477,1831
475,5723,727
476,8751,2167
477,9024,1665
478,6619,1357
479,9083,2549
480,6197,905
481,9008,2338
482,6316,645
483,5654,1179
484,5420,830
485,6550,1190
486,6592,1282
487,9554,1386
488,8054,2217
489,9720,2566
490,6402,1532
491,7122,1480
492,9169,2199
493,5428,1043
494,6641,738
495,7570,2058
496,8447,1504
497,7486,1805
498,7553,1715
499,5706,762
500,9088,1976
